name,brand_category,product_category,created,last_active,last_onboarding_step,saw_discovery,address_country
Milksnob,/art and entertainment/shows and events,,2018-01-02,2018-06-11,3,false,United States
,,,2018-01-02,2018-01-12,1,false,
,,,2018-01-03,2018-01-03,1,false,
Baseball Much,/sports/baseball,,2018-01-03,2018-01-03,1,false,
,,,2018-01-04,2018-01-04,1,false,
Stargraph,/automotive and vehicles/motorcycles,,2018-01-04,2018-08-28,1,false,
,,,2018-01-04,2018-01-04,1,false,
Enflux,,,2018-01-04,2018-01-04,1,false,
,,,2018-01-05,2018-01-05,1,false,
,,,2018-01-05,2018-01-05,1,false,
,,,2018-01-05,2018-02-22,1,false,
Major League Girls,/sports/softball,,2018-01-05,2018-01-07,1,false,
,,,2018-01-05,2018-01-05,1,false,
,,,2018-01-05,2018-01-05,1,false,
,,,2018-01-05,2018-01-05,1,false,
Global Dinners,,,2018-01-05,2018-02-12,2,false,
,,,2018-01-08,2018-01-08,1,false,
Badger Sport,/style and fashion/clothing/hoodies,,2018-01-08,2018-01-08,1,false,
,,,2018-01-09,2018-01-09,1,false,
AlfaPeople,,,2018-01-09,2018-01-09,1,false,
UHWK,/sports/hockey,,2018-01-10,2018-06-28,3,false,Canada
GoKid,/family and parenting/children,,2018-01-10,2018-01-28,1,false,
,,,2018-01-11,2018-01-11,1,false,
,,,2018-01-11,2018-01-11,1,false,
Plumdrop,/automotive and vehicles/vehicle rental,Outdoors,2018-01-11,2018-07-03,3,false,United States
,,,2018-01-12,2018-01-12,1,false,
,,,2018-01-12,2018-02-27,1,false,
,,,2018-01-12,2018-01-29,1,false,
AICRA( All India council for robotics and automation),,,2018-01-12,2018-01-12,1,false,
,,,2018-01-12,2018-01-12,1,false,
Plumdrop,/sports/go kart,,2018-01-12,2018-01-17,1,false,
SY,,,2018-01-12,2018-01-12,1,false,
,,,2018-01-13,2018-01-13,1,false,
,,,2018-01-15,2018-01-15,1,false,
Plymouth Rock,,,2018-01-15,2018-07-02,1,false,
Caseco,,,2018-01-15,2018-01-18,1,false,
,,,2018-01-15,2018-01-15,1,false,
h,,,2018-01-15,2018-01-22,3,false,
Blind Image Designs,/business and industrial/advertising and marketing,Art,2018-01-16,2018-05-11,3,false,United States
Wesleyan Alumni,,,2018-01-16,2018-02-13,1,false,United States
,,,2018-01-17,2018-01-23,2,false,
,,,2018-01-17,2018-01-25,0,false,
,,,2018-01-17,2019-02-13,1,false,
,,,2018-01-17,2018-01-17,2,false,
,,,2018-01-17,2018-01-17,1,false,
The Cut Buddy,/style and fashion/beauty/hair care,Personal Care,2018-01-18,2018-03-28,3,false,United States
,,,2018-01-18,2018-04-09,2,false,
,,,2018-01-19,2018-01-19,2,false,
trhe,,Commercial  & Professional Services,2018-01-19,2018-01-22,2,false,Australia
,,,2018-01-19,2018-01-19,2,false,
,,,2018-01-19,2019-01-24,1,false,
,,,2018-01-19,2018-10-30,2,false,
,,,2018-01-21,2018-02-13,1,false,
,,,2018-01-21,2018-01-21,0,false,
VIVAX,,Personal Care,2018-01-22,2018-01-22,3,false,Estonia
Velocity,,Automobiles,2018-01-22,2018-04-01,3,false,Malaysia
Jukin Media,,Marketing,2018-01-22,2018-01-22,3,false,United States
Battle Grounds Coffee Company,/food and drink,Food & Beverage,2018-01-22,2018-01-22,3,false,United States
,,,2018-01-22,2018-01-22,1,false,
,,,2018-01-22,2018-01-25,2,false,
,,,2018-01-22,2018-01-22,2,false,
,,,2018-01-22,2018-02-07,2,false,
,,,2018-01-22,2018-04-03,2,false,
,,,2018-01-22,2018-01-22,2,false,
,,,2018-01-23,2018-01-23,0,false,
Kepler Group,,,2018-01-23,2018-02-21,2,false,
,,,2018-01-23,2018-01-24,2,false,
,,,2018-01-24,2018-02-19,2,false,
Styr Labs,/health and fitness,Health & Medical,2018-01-24,2019-01-08,1,false,United States
Macy's,,Personal Care,2018-01-24,2018-02-21,2,false,United States
,,,2018-01-24,2018-01-24,1,false,
,,,2018-01-24,2019-02-28,1,false,
,,,2018-01-24,2018-01-24,1,false,
Faculacu,,Food & Beverage,2018-01-24,2018-01-24,3,false,United States
,,,2018-01-25,2018-01-25,1,false,
,,,2018-01-25,2018-02-01,2,false,
,,,2018-01-25,2018-01-25,1,false,
Strongbody Apparel,/style and fashion/clothing/leggings,Apparel & Jewelry,2018-01-25,2018-01-25,3,false,Canada
,,,2018-01-25,2018-01-26,2,false,
,,,2018-01-25,2018-01-25,2,false,
,,Sport & Fitness Centers,2018-01-26,2018-01-26,2,false,
,,,2018-01-26,2018-01-26,2,false,
,,,2018-01-26,2018-01-26,2,false,
,,,2018-01-27,2018-01-27,2,false,
TouchPoint Solution,/health and fitness/disorders/mental disorder/panic and anxiety,Health & Medical,2018-01-27,2018-01-27,1,false,United States
,,,2018-01-29,2018-05-17,1,false,
,,,2018-01-29,2018-01-29,2,false,
Madera Outdoor Co.,/sports/climbing,Outdoors,2018-01-29,2018-08-09,3,false,United States
,,,2018-01-30,2018-01-30,2,false,
,,,2018-01-30,2018-01-30,0,false,
,,,2018-01-30,2018-01-30,1,false,
,,,2018-01-30,2018-01-30,2,false,
VueTel,,Telecommunication Services,2018-01-31,2018-01-31,3,false,United States
IN THE ZONE Sports,/sports/football,,2018-01-31,2018-01-31,3,false,
,,,2018-01-31,2018-02-14,2,false,
,,,2018-02-01,2018-02-02,2,false,
,,,2018-02-01,2018-02-01,2,false,
,,,2018-02-01,2018-02-26,1,false,
iDream Basketball LLC,,Marketing,2018-02-03,2018-02-03,1,false,United States
Soccer Supplement,,Pharmaceuticals Biotechnology & Life Sciences,2018-02-03,2018-02-04,3,false,
,,,2018-02-03,2018-02-03,0,false,
,,,2018-02-04,2018-04-06,2,false,
,,,2018-02-04,2018-03-16,2,false,
313 Sports Brasil,/sports/hockey,Consumer Durables,2018-02-04,2019-07-10,3,false,Brazil
Stompin Grounds,,Outdoors,2018-02-05,2018-02-05,3,false,United States
IndiMusic TV,/art and entertainment/shows and events,,2018-02-06,2018-02-06,3,false,United States
,,,2018-02-06,2018-02-14,0,false,
,,,2018-02-06,2018-02-07,2,false,
,,,2018-02-07,2018-02-10,2,false,
,,,2018-02-07,2018-02-14,2,false,
FanVest,,,2018-02-07,2018-03-08,3,false,United States
,,,2018-02-07,2018-02-07,1,false,
baKblade 2.0,/art and entertainment/shows and events,Personal Care,2018-02-07,2018-07-26,3,false,United States
NCREATE,,Technology Hardware & Equipment,2018-02-08,2018-02-08,3,false,India
,,,2018-02-08,2018-02-20,1,false,
,,,2018-02-09,2018-02-09,1,false,
,,,2018-02-09,2018-02-09,1,false,
,,,2018-02-09,2018-02-09,1,false,
,,,2018-02-10,2018-02-10,1,false,
Google,,,2018-02-12,2018-03-19,2,false,
,,,2018-02-12,2018-02-12,0,false,
,,,2018-02-12,2019-03-07,1,false,
,,,2018-02-13,2018-02-21,1,false,
,,,2018-02-13,2018-02-13,2,false,
Keeps,/art and entertainment/shows and events,Health & Medical,2018-02-13,2019-04-23,2,false,United States
,,,2018-02-13,2018-02-13,2,false,
4Ocean LLC,/business and industrial/business operations/business plans,Apparel & Jewelry,2018-02-13,2018-02-13,3,false,United States
,,,2018-02-13,2018-02-13,2,false,
,,,2018-02-13,2018-02-13,0,false,
,,,2018-02-13,2018-03-13,2,false,
,,,2018-02-14,2018-03-20,2,false,
,,,2018-02-14,2018-03-07,2,false,
Libertas: For a Smoke-free Life,,Health & Medical,2018-02-15,2018-02-22,1,false,Canada
Klaudia Nagy,,,2018-02-15,2018-02-15,2,false,United States
,,,2018-02-15,2018-02-15,1,false,
,,,2018-02-15,2018-02-15,0,false,
,,,2018-02-16,2018-02-16,0,false,
,,,2018-02-16,2018-02-19,2,false,
chuck stevens,,Apparel & Jewelry,2018-02-16,2018-02-16,3,false,United States
Amedicanna,/health and fitness,Health & Medical,2018-02-16,2018-10-02,3,false,United States
A TO Z OF SOCCER COACHING,,Outdoors,2018-02-17,2018-02-17,3,false,India
,,,2018-02-17,2018-02-17,1,false,
DudeRobe,/style and fashion/clothing/pants,,2018-02-17,2018-06-07,1,false,United States
,,,2018-02-18,2018-02-18,2,false,
,,,2018-02-19,2018-02-19,2,false,
TSS#,/technology and computing,Outdoors,2018-02-19,2018-02-19,2,false,India
Glyder,/art and entertainment/shows and events,Personal Care,2018-02-19,2019-04-01,3,false,United States
,,,2018-02-19,2018-02-19,0,false,
CBD Livity,/health and fitness,Personal Care,2018-02-19,2018-02-20,3,false,
,,,2018-02-20,2018-02-20,0,false,
Froozer Frozen Fruit Snack,/food and drink/food,,2018-02-20,2018-06-14,2,false,United States
FlipGive,/art and entertainment/shows and events,Retailing,2018-02-20,2018-02-20,2,false,Canada
Tequila 512,/food and drink/food,Food & Beverage,2018-02-20,2018-02-20,1,false,United States
SidelineSwap Inc.,,,2018-02-20,2018-02-21,1,false,
ION Audio,/art and entertainment/music/music reference,Retailing,2018-02-20,2018-02-27,3,false,United States
,,,2018-02-20,2018-02-20,2,false,
,,,2018-02-21,2018-06-05,2,false,
,,,2018-02-21,2018-02-21,1,false,
Sideline Swap,/sports/go kart,Apparel & Jewelry,2018-02-21,2018-03-30,1,false,United States
Limitless Athletics,,Apparel & Jewelry,2018-02-21,2018-03-24,2,false,Canada
ReaNatral,,Food & Beverage,2018-02-22,2018-10-31,2,false,Canada
Team Inferno,,Automobiles,2018-02-22,2018-02-22,3,false,India
,,,2018-02-22,2018-02-22,2,false,
,,,2018-02-22,2018-02-22,1,false,
Trusted Choice,,Insurance,2018-02-22,2018-02-22,3,false,United States
Candid Co.,/society/social institution/divorce,Personal Care,2018-02-23,2019-01-28,3,false,United States
,,,2018-02-23,2018-02-23,0,false,
Phantom Wear Apparel,,Apparel & Jewelry,2018-02-23,2018-02-23,3,false,United States
,,,2018-02-23,2018-02-23,2,false,
,,,2018-02-25,2019-02-04,3,false,
,,,2018-02-25,2018-02-25,1,false,
,,,2018-02-26,2018-02-26,1,false,
,,,2018-02-26,2018-02-26,2,false,
AOS,,Personal Care,2018-02-26,2018-08-23,2,false,United States
On The Line,/pets/dogs,Apparel & Jewelry,2018-02-26,2018-10-24,3,false,United States
,,,2018-02-27,2018-02-27,1,false,
,,,2018-02-27,2018-02-27,1,false,
